epoch,step,train_loss_epoch,train_loss_step,val/r2,val/rmse,val_loss
0,8,,,-21.498394012451172,5.734099864959717,32.87990188598633
0,8,23.058914184570312,,,,
1,17,,,-14.790843963623047,4.803880214691162,23.0772647857666
1,17,4.412348747253418,,,,
2,26,,,-11.28996467590332,4.238037586212158,17.96096420288086
2,26,3.1323046684265137,,,,
3,35,,,-10.066811561584473,4.021617412567139,16.17340660095215
3,35,2.5874783992767334,,,,
4,44,,,-6.410857677459717,3.290968656539917,10.830474853515625
4,44,2.6198158264160156,,,,
5,49,,1.8786075115203857,,,
5,53,,,-3.130337715148926,2.4568705558776855,6.036212921142578
5,53,2.489370822906494,,,,
6,62,,,-0.8472799062728882,1.6430691480636597,2.699676275253296
6,62,2.3477375507354736,,,,
7,71,,,-0.775202751159668,1.6106956005096436,2.5943403244018555
7,71,2.2075095176696777,,,,
8,80,,,-0.477337121963501,1.4693636894226074,2.159029722213745
8,80,2.183361291885376,,,,
9,89,,,0.019554734230041504,1.197019338607788,1.4328553676605225
9,89,1.9024467468261719,,,,
10,98,,,-0.790938138961792,1.6178184747695923,2.6173365116119385
10,98,1.9350677728652954,,,,
11,99,,1.5842005014419556,,,
11,107,,,-0.1729259490966797,1.309256672859192,1.7141531705856323
11,107,1.828094720840454,,,,
12,116,,,0.03042280673980713,1.190366506576538,1.4169723987579346
12,116,1.8877161741256714,,,,
13,125,,,-0.20467722415924072,1.3268592357635498,1.760555386543274
13,125,1.7124770879745483,,,,
14,134,,,-0.20123863220214844,1.324964165687561,1.7555301189422607
14,134,1.883650302886963,,,,
15,143,,,0.10858845710754395,1.1413756608963013,1.3027384281158447
15,143,1.6913509368896484,,,,
16,149,,1.4172558784484863,,,
16,152,,,0.20799541473388672,1.0758540630340576,1.1574618816375732
16,152,1.837633728981018,,,,
17,161,,,0.246307373046875,1.04951012134552,1.1014715433120728
17,161,1.847286581993103,,,,
18,170,,,0.20528161525726318,1.077695608139038,1.1614278554916382
18,170,1.7752299308776855,,,,
19,179,,,-1.0168771743774414,1.7168376445770264,2.9475314617156982
19,179,1.7587789297103882,,,,
20,188,,,0.05420362949371338,1.17567777633667,1.382218360900879
20,188,1.6578580141067505,,,,
21,197,,,-0.5084959268569946,1.4847781658172607,2.204566240310669
21,197,1.6211576461791992,,,,
22,199,,1.5009207725524902,,,
22,206,,,0.26983702182769775,1.0329978466033936,1.0670844316482544
22,206,1.6521075963974,,,,
23,215,,,-0.9445772171020508,1.6857845783233643,2.841869831085205
23,215,1.6426695585250854,,,,
24,224,,,0.3640291690826416,0.9640689492225647,0.9294289946556091
24,224,1.4911651611328125,,,,
25,233,,,0.3313412070274353,0.9885343909263611,0.9772002696990967
25,233,1.3728982210159302,,,,
26,242,,,-0.23874974250793457,1.3454924821853638,1.8103500604629517
26,242,1.3890228271484375,,,,
27,249,,1.3577096462249756,,,
27,251,,,0.24279266595840454,1.0519543886184692,1.1066080331802368
27,251,1.4708184003829956,,,,
28,260,,,0.11493980884552002,1.137302279472351,1.2934564352035522
28,260,1.2386990785598755,,,,
29,269,,,0.029783904552459717,1.1907585859298706,1.4179060459136963
29,269,1.3379976749420166,,,,
30,278,,,0.3273504972457886,0.9914798736572266,0.9830323457717896
30,278,1.2506909370422363,,,,
