fold_0:
   train      val  monitor       lr
4.345838 2.019942 1.421247 0.000500
1.571343 1.936971 1.391751 0.000500
1.464690 2.242211 1.497401 0.000500
1.339708 2.498655 1.580713 0.000500
1.271630 1.674080 1.293862 0.000500
1.428994 1.773577 1.331757 0.000500
1.304232 1.756127 1.325189 0.000500
1.226458 1.388439 1.178320 0.000500
1.103488 1.270665 1.127238 0.000500
1.143852 1.331918 1.154087 0.000500
1.031796 1.125563 1.060926 0.000500
1.015471 1.083853 1.041082 0.000500
0.980192 1.052929 1.026123 0.000500
0.897352 1.004947 1.002470 0.000500
0.930356 1.057742 1.028466 0.000500
0.853700 0.864983 0.930045 0.000500
0.792565 0.802345 0.895737 0.000500
0.750409 1.541451 1.241552 0.000500
0.861690 0.789058 0.888289 0.000500
0.714851 0.745234 0.863269 0.000500
0.636027 0.954133 0.976797 0.000500
0.677830 0.798572 0.893628 0.000500
0.670713 0.783573 0.885197 0.000500
0.598604 0.726405 0.852294 0.000500
0.639858 1.006444 1.003217 0.000500
0.870556 0.984622 0.992281 0.000500
0.852779 0.849878 0.921888 0.000500
0.681462 0.705327 0.839838 0.000500
0.651064 2.121829 1.456650 0.000500
0.806612 0.706397 0.840474 0.000500
0.567220 0.690906 0.831207 0.000500
0.483881 1.211063 1.100483 0.000500
0.493977 0.785407 0.886232 0.000500
0.485289 0.597937 0.773264 0.000500
0.491251 1.047392 1.023422 0.000500
0.462199 0.658503 0.811482 0.000500
0.493725 0.644714 0.802941 0.000500
0.486215 1.250307 1.118171 0.000375
0.390722 0.595619 0.771764 0.000375
0.451932 0.633382 0.795853 0.000375
0.370019 0.963692 0.981678 0.000375
0.360516 0.787880 0.887626 0.000375
0.316135 0.665488 0.815774 0.000281
0.337559 0.741006 0.860817 0.000281
0.330289 0.741626 0.861177 0.000281
0.314362 0.760519 0.872078 0.000281
0.307720 0.584994 0.764849 0.000281
0.264102 0.655521 0.809643 0.000281
0.268612 0.737186 0.858596 0.000281
0.269928 0.628113 0.792536 0.000281
0.273189 0.662944 0.814214 0.000211
0.239266 0.727600 0.852994 0.000211
0.223134 0.779979 0.883164 0.000211
0.227948 0.777007 0.881480 0.000211
0.231177 0.705722 0.840072 0.000158
0.194043 0.721855 0.849621 0.000158

fold_1:
   train      val  monitor       lr
4.507935 1.609471 1.268649 0.000500
1.726751 1.472874 1.213620 0.000500
1.482399 1.204984 1.097718 0.000500
1.297748 1.201672 1.096208 0.000500
1.491427 1.213991 1.101813 0.000500
1.228081 1.125100 1.060707 0.000500
1.357839 1.121134 1.058836 0.000500
1.172659 1.303173 1.141566 0.000500
1.169239 1.014905 1.007425 0.000500
1.169627 0.963778 0.981722 0.000500
1.137890 1.583280 1.258285 0.000500
1.206833 1.087465 1.042816 0.000500
1.180902 1.029380 1.014584 0.000500
1.100808 0.797683 0.893131 0.000500
0.952477 0.830879 0.911526 0.000500
0.907902 0.716760 0.846617 0.000500
0.897617 0.825865 0.908771 0.000500
0.813745 0.652694 0.807895 0.000500
0.822027 0.918642 0.958458 0.000500
0.832662 0.693424 0.832721 0.000500
0.728951 0.638890 0.799306 0.000500
0.664379 0.610183 0.781142 0.000500
0.711113 0.672502 0.820062 0.000500
0.672422 0.563668 0.750778 0.000500
0.678501 0.655864 0.809855 0.000500
0.605053 0.614280 0.783760 0.000500
0.570122 0.870253 0.932874 0.000500
0.641468 0.503785 0.709778 0.000500
0.525989 0.550944 0.742256 0.000500
0.642074 0.513186 0.716370 0.000500
0.658443 0.617305 0.785687 0.000500
0.523157 0.470379 0.685842 0.000500
0.463203 0.468173 0.684232 0.000500
0.451311 0.528211 0.726781 0.000500
0.447744 0.541926 0.736156 0.000500
0.439182 0.573577 0.757349 0.000500
0.443436 0.513795 0.716795 0.000375
0.437495 0.824684 0.908121 0.000375
0.393675 0.517361 0.719278 0.000375
0.364583 0.590772 0.768617 0.000375
0.361335 0.539886 0.734769 0.000281
0.327695 0.503945 0.709891 0.000281

fold_2:
   train      val  monitor       lr
4.861177 1.610238 1.268951 0.000500
1.460104 1.598743 1.264414 0.000500
1.355660 1.475051 1.214517 0.000500
1.308150 1.451488 1.204777 0.000500
1.304168 1.345496 1.159955 0.000500
1.610382 1.378172 1.173955 0.000500
1.152299 1.437111 1.198796 0.000500
1.139881 1.217018 1.103185 0.000500
1.121218 1.301673 1.140909 0.000500
0.994842 1.148574 1.071716 0.000500
0.957263 1.422865 1.192839 0.000500
1.066344 1.108544 1.052874 0.000500
0.853638 1.081349 1.039879 0.000500
0.794452 1.126823 1.061519 0.000500
1.032702 0.948143 0.973726 0.000500
0.819597 1.029955 1.014867 0.000500
0.736405 0.936764 0.967865 0.000500
0.763646 0.907637 0.952700 0.000500
0.692970 0.922574 0.960507 0.000500
0.745056 0.883011 0.939687 0.000500
0.644621 0.795092 0.891680 0.000500
0.665467 0.999244 0.999622 0.000500
0.663905 0.737283 0.858652 0.000500
0.559874 0.763339 0.873693 0.000500
0.553882 0.749498 0.865735 0.000500
0.553598 0.993726 0.996858 0.000500
0.574631 0.675095 0.821642 0.000500
0.646358 0.825614 0.908633 0.000500
0.561133 0.780277 0.883333 0.000500
0.531664 0.716908 0.846704 0.000500
0.564209 0.801694 0.895374 0.000375
0.505591 0.863044 0.929001 0.000375
0.450004 0.697578 0.835211 0.000375
0.410141 0.754652 0.868707 0.000375
0.394543 0.659502 0.812097 0.000375
0.399682 0.768228 0.876486 0.000375
0.376115 0.643601 0.802247 0.000375
0.362099 0.657445 0.810830 0.000375
0.361319 0.733563 0.856483 0.000375
0.335608 0.707517 0.841140 0.000375
0.333908 0.672729 0.820200 0.000281
0.311113 0.830309 0.911213 0.000281
0.357274 0.650135 0.806310 0.000281
0.304644 0.642530 0.801580 0.000281
0.268759 0.707384 0.841061 0.000281
0.270577 0.701487 0.837548 0.000281
0.278172 0.704268 0.839207 0.000281
0.241736 0.668459 0.817593 0.000211
0.224067 0.676793 0.822675 0.000211
0.227193 0.698671 0.835866 0.000211
0.223833 0.713736 0.844829 0.000211
0.223469 0.725435 0.851725 0.000158
0.220054 0.722820 0.850189 0.000158

fold_3:
   train      val  monitor       lr
4.198808 1.873392 1.368719 0.000500
1.401922 1.752128 1.323680 0.000500
1.413641 2.326869 1.525408 0.000500
1.252268 1.908704 1.381558 0.000500
1.310508 1.612597 1.269881 0.000500
1.096732 1.577802 1.256106 0.000500
1.099862 1.772307 1.331280 0.000500
1.116311 1.428499 1.195198 0.000500
1.020567 1.542998 1.242175 0.000500
1.132166 1.363680 1.167767 0.000500
1.011059 1.408836 1.186944 0.000500
0.899014 1.485111 1.218651 0.000500
0.940612 1.495705 1.222990 0.000500
0.920035 1.247315 1.116833 0.000500
0.831263 1.127756 1.061958 0.000500
0.790466 1.296169 1.138494 0.000500
0.823777 1.051883 1.025614 0.000500
0.841082 1.078432 1.038476 0.000500
0.708072 0.995952 0.997974 0.000500
0.813244 1.297800 1.139210 0.000500
0.715875 0.953539 0.976493 0.000500
0.602562 1.025082 1.012463 0.000500
0.601619 0.938171 0.968592 0.000500
0.641301 1.291285 1.136347 0.000500
0.731815 0.997173 0.998586 0.000500
0.547359 0.901638 0.949546 0.000500
0.577720 1.257900 1.121561 0.000500
0.548514 0.894889 0.945986 0.000500
0.517658 0.829936 0.911008 0.000500
0.537862 0.930523 0.964636 0.000500
0.494189 0.930397 0.964571 0.000500
0.479442 0.808928 0.899404 0.000500
0.454654 0.847429 0.920559 0.000500
0.417717 1.013537 1.006746 0.000500
0.466782 0.873130 0.934414 0.000500
0.428933 0.787906 0.887641 0.000500
0.443109 0.813474 0.901928 0.000500
0.409719 0.863461 0.929226 0.000500
0.561407 0.789113 0.888321 0.000500
0.371825 0.763336 0.873691 0.000500
0.378448 0.773198 0.879316 0.000500
0.383542 0.873400 0.934559 0.000500
0.355694 0.831265 0.911737 0.000500
0.354305 0.809854 0.899919 0.000375
0.285065 0.848029 0.920885 0.000375
0.295119 0.819502 0.905263 0.000375
0.272618 0.773813 0.879667 0.000375
0.253726 0.796643 0.892549 0.000281
0.239683 0.825276 0.908447 0.000281

fold_4:
   train      val  monitor       lr
4.378050 2.017392 1.420349 0.000500
1.567231 1.876315 1.369787 0.000500
1.494659 2.034914 1.426504 0.000500
1.376794 1.398207 1.182458 0.000500
1.316657 1.293880 1.137489 0.000500
1.360767 1.190657 1.091172 0.000500
1.166236 1.299809 1.140092 0.000500
1.162210 1.135075 1.065399 0.000500
1.108392 1.264767 1.124618 0.000500
1.091015 1.141884 1.068590 0.000500
0.980574 1.048701 1.024061 0.000500
1.018535 0.958533 0.979047 0.000500
0.946865 1.042929 1.021239 0.000500
0.919869 0.885604 0.941065 0.000500
0.812729 0.929829 0.964276 0.000500
0.986142 0.983665 0.991799 0.000500
0.864629 0.895165 0.946132 0.000500
0.853023 1.082622 1.040491 0.000375
0.730402 0.803432 0.896344 0.000375
0.765800 0.822533 0.906936 0.000375
0.624859 0.930180 0.964458 0.000375
0.610158 0.831725 0.911990 0.000375
0.594097 0.766216 0.875338 0.000375
0.566933 0.790457 0.889077 0.000375
0.549796 0.828692 0.910325 0.000375
0.585192 1.263251 1.123944 0.000375
0.583915 0.847579 0.920641 0.000281
0.493646 0.818053 0.904463 0.000281
0.483771 0.925452 0.962004 0.000281
0.444766 0.817468 0.904139 0.000281
0.454470 0.758835 0.871111 0.000281
0.435479 0.976146 0.988001 0.000281
0.406447 0.795581 0.891954 0.000281
0.386446 0.801880 0.895477 0.000281
0.391873 0.825254 0.908435 0.000211
0.357388 0.813117 0.901730 0.000211
0.360550 0.813092 0.901716 0.000211
0.335199 0.795504 0.891910 0.000211
0.327473 0.899173 0.948247 0.000158
0.338256 0.776652 0.881279 0.000158

