smiles,pred_pIC50,target_pIC50,is_valid,canonical_smiles,murcko_scaffold_smiles,tanimoto_max_to_ref,diversity_score,abs_prediction_error
Brc1ccc2ccccc2c1,4.0063295,4.002967834472656,True,Brc1ccc2ccccc2c1,c1ccc2ccccc2c1,0.2857143,0.8372305319266378,0.003361665527343405
Brc1cccc(C2CC2c2cccc(CNC3CCCCC3)c2)c1,4.2230086,4.236828327178955,True,Brc1cccc(C2CC2c2cccc(CNC3CCCCC3)c2)c1,c1ccc(C2CC2c2cccc(CNC3CCCCC3)c2)cc1,0.36206895,0.8372305319266378,0.013819727178955077
C#CC(C)(C)c1csc(C2(NCC(O)C(Cc3cc(F)cc(F)c3)NC(C)=O)CCCCC2)c1,3.7329135,3.736269235610962,True,C#CC(C)(C)c1csc(C2(NCC(O)C(Cc3cc(F)cc(F)c3)NC(C)=O)CCCCC2)c1,c1ccc(CCCCNC2(c3cccs3)CCCCC2)cc1,0.828125,0.8372305319266378,0.0033557356109619185
C#CC1=CC(C[C@H](NC(C)=O)[C@@H](O)CN[C@H]2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)=C1,7.213562,7.182931423187256,True,C#CC1=CC(C[C@H](NC(C)=O)[C@@H](O)CN[C@H]2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)=C1,C1=CC(CCCCNC2CC3(CCC3)Oc3ncccc32)=C1,0.7532467,0.8372305319266378,0.030630576812743726
C#CCC(C(=O)NC(c1cccc(-c2nccs2)c1)C(O)CNC1(c2cccc(CC(C)(C)C)c2)CCCCC1)C(F)(F)F,7.81042,7.758039951324463,True,C#CCC(C(=O)NC(c1cccc(-c2nccs2)c1)C(O)CNC1(c2cccc(CC(C)(C)C)c2)CCCCC1)C(F)(F)F,c1ccc(C2(NCCCc3cccc(-c4nccs4)c3)CCCCC2)cc1,0.4107143,0.8372305319266378,0.052380048675536806
C#CCCC(COc1cccc(F)c1)Nc1ccc(F)c(C2(C)CC(C)(F)COC(=N)N2)c1,7.292533,7.346753120422363,True,C#CCCC(COc1cccc(F)c1)Nc1ccc(F)c(C2(C)CC(C)(F)COC(=N)N2)c1,N=C1NC(c2cccc(NCCOc3ccccc3)c2)CCCO1,0.28431374,0.8372305319266378,0.05422012042236357
C#CCCCOc1cccc(C2(c3ccc(-c4cncc(F)c4)cc3)CCCC2)c1,6.5699773,6.583322525024414,True,C#CCCCOc1cccc(C2(c3ccc(-c4cncc(F)c4)cc3)CCCC2)c1,c1ccc(C2(c3ccc(-c4cccnc4)cc3)CCCC2)cc1,0.31578946,0.8372305319266378,0.013345225024414376
C#CCCCOc1cccc(CC2CS(=O)(=O)CC(NCc3cccc(C(C)O)c3)C2O)c1,6.013801,6.040449142456055,True,C#CCCCOc1cccc(CC2CS(=O)(=O)CC(NCc3cccc(C(C)O)c3)C2O)c1,O=S1(=O)CC(Cc2ccccc2)CC(NCc2ccccc2)C1,0.71428573,0.8372305319266378,0.026648142456054735
C#CCCNC(=O)c1csc(-c2ccc(-c3ccccc3Cl)cc2Cl)c1,6.0571938,6.102598190307617,True,C#CCCNC(=O)c1csc(-c2ccc(-c3ccccc3Cl)cc2Cl)c1,c1ccc(-c2ccc(-c3cccs3)cc2)cc1,0.27160493,0.8372305319266378,0.04540439030761689
C#CCCOc1ccc(C2(c3cccc(-c4cncnc4)c3)N=C(N)N(C)C2=O)cc1,8.745488,8.775871276855469,True,C#CCCOc1ccc(C2(c3cccc(-c4cncnc4)c3)N=C(N)N(C)C2=O)cc1,O=C1NC=NC1(c1ccccc1)c1cccc(-c2cncnc2)c1,0.6363636,0.8372305319266378,0.03038327685546882
C#CCCOc1cccc(-c2cccc(C3(N)N=C(C)N(C)C3=O)c2)c1,7.826328,7.83105993270874,True,C#CCCOc1cccc(-c2cccc(C3(N)N=C(C)N(C)C3=O)c2)c1,O=C1NC=NC1c1cccc(-c2ccccc2)c1,0.3970588,0.8372305319266378,0.004731932708740061
C#CCc1cc(C)nc(C(=O)Nc2ccc(F)c(C3(C)COC(=N)N3)c2)c1,6.066612,6.058577060699463,True,C#CCc1cc(C)nc(C(=O)Nc2ccc(F)c(C3(C)COC(=N)N3)c2)c1,N=C1NC(c2cccc(NC(=O)c3ccccn3)c2)CO1,0.43023255,0.8372305319266378,0.008034939300537225
C#CCc1cc(CC2CS(=O)(=O)CC(NCc3cccc(C(C)(C)C)c3)C2O)cc(F)c1N,8.732851,8.744424819946289,True,C#CCc1cc(CC2CS(=O)(=O)CC(NCc3cccc(C(C)(C)C)c3)C2O)cc(F)c1N,O=S1(=O)CC(Cc2ccccc2)CC(NCc2ccccc2)C1,0.8358209,0.8372305319266378,0.011573819946288921
C#CCc1ccc(C2=CC(NCC(O)C(Cc3ccc(C(C)C)nc3)NC(=O)COC)CC3=CN(CC)C3=C2)cc1,9.064457,9.08486270904541,True,C#CCc1ccc(C2=CC(NCC(O)C(Cc3ccc(C(C)C)nc3)NC(=O)COC)CC3=CN(CC)C3=C2)cc1,C1=C2CC(NCCCCc3cccnc3)C=C(c3ccccc3)C=C2N1,0.35964912,0.8372305319266378,0.02040570904540928
C#CCc1ccc(CNC[C@H](O)[C@H](CC2CC2)NC(=O)c2cc(N3CCCC3=O)cc(C(C)=O)n2)cc1,6.9548335,6.957956314086914,True,C#CCc1ccc(CNC[C@H](O)[C@H](CC2CC2)NC(=O)c2cc(N3CCCC3=O)cc(C(C)=O)n2)cc1,O=C(NC(CCNCc1ccccc1)CC1CC1)c1cc(N2CCCC2=O)ccn1,0.37373737,0.8372305319266378,0.0031228140869137277
C#CCc1cnc2c(c1)CC(C(C)(C)C)NC1CCCC3=CC(CC(C)(C)C)=CN=C4CCCC2(CC3NCC1O)O4,8.821018,8.82944107055664,True,C#CCc1cnc2c(c1)CC(C(C)(C)C)NC1CCCC3=CC(CC(C)(C)C)=CN=C4CCCC2(CC3NCC1O)O4,C1=CN=C2CCCC3(CC4NCCC(CCCC4=C1)NCCc1cccnc13)O2,0.21323529,0.8372305319266378,0.008423070556640155
