fold_0:
   train      val  monitor       lr
2.299074 2.371328 1.539912 0.000500
1.091978 1.951920 1.397111 0.000500
1.117364 2.051194 1.432199 0.000500
1.057168 1.865987 1.366011 0.000500
1.023333 1.788527 1.337358 0.000500
0.988730 1.795236 1.339864 0.000500
1.001371 1.744960 1.320969 0.000500
0.963733 1.542740 1.242071 0.000500
0.926595 1.684896 1.298035 0.000500
0.914392 1.582458 1.257958 0.000500
0.899001 1.465409 1.210541 0.000500
0.932556 1.311520 1.145216 0.000500
0.846236 1.373627 1.172019 0.000500
0.902793 1.393505 1.180468 0.000500
0.819267 1.124863 1.060596 0.000500
0.863220 1.460882 1.208670 0.000500
0.823032 1.075141 1.036890 0.000500
0.761910 1.047402 1.023427 0.000500
0.730089 1.025985 1.012909 0.000500
0.723312 1.029819 1.014800 0.000500
0.759248 0.942254 0.970698 0.000500
0.720976 1.245699 1.116109 0.000500
0.696693 0.944289 0.971745 0.000500
0.649251 0.786766 0.886998 0.000500
0.651947 0.865254 0.930190 0.000500
0.659173 0.761917 0.872878 0.000500
0.610019 1.105949 1.051641 0.000500
0.626295 0.890595 0.943714 0.000500
0.583344 0.793150 0.890590 0.000500
0.600112 1.148587 1.071722 0.000375
0.550387 0.718232 0.847486 0.000375
0.526391 1.086698 1.042448 0.000375
0.521697 0.877172 0.936575 0.000375
0.500854 0.768557 0.876674 0.000375
0.479314 0.705146 0.839730 0.000375
0.480186 0.820181 0.905639 0.000375
0.461850 0.920372 0.959360 0.000375
0.461828 0.734503 0.857032 0.000375
0.459323 0.715465 0.845851 0.000281
0.406748 0.899111 0.948215 0.000281
0.409923 0.765905 0.875160 0.000281
0.385001 0.764569 0.874396 0.000281
0.376785 0.656646 0.810337 0.000281
0.377139 0.661181 0.813131 0.000281
0.365978 0.710485 0.842903 0.000281
0.354401 0.639656 0.799785 0.000281
0.338302 0.728889 0.853750 0.000281
0.329152 0.740811 0.860704 0.000281
0.347397 1.079134 1.038814 0.000281
0.331051 0.669716 0.818362 0.000211
0.297473 0.672556 0.820095 0.000211
0.276426 0.751586 0.866940 0.000211
0.268279 0.644340 0.802708 0.000211
0.272299 0.627399 0.792085 0.000211
0.272092 0.672416 0.820010 0.000211
0.259168 0.673734 0.820813 0.000211
0.269650 0.698777 0.835929 0.000211
0.249901 0.788221 0.887818 0.000158
0.223871 0.799644 0.894228 0.000158
0.235012 0.908187 0.952989 0.000158
0.228130 0.785059 0.886036 0.000158
0.225589 0.724592 0.851230 0.000119
