fold_0:
   train      val  monitor       lr
2.581984 2.204557 1.484775 0.000500
1.099745 1.891260 1.375231 0.000500
1.035232 1.782345 1.335045 0.000500
1.045488 1.981579 1.407686 0.000500
1.010444 1.683074 1.297333 0.000500
0.996475 1.800338 1.341767 0.000500
0.997879 1.536659 1.239620 0.000500
0.974047 1.727446 1.314323 0.000500
0.956730 1.467265 1.211307 0.000500
0.888978 1.441163 1.200485 0.000500
0.882758 1.410927 1.187824 0.000500
0.869935 1.533623 1.238395 0.000500
0.859252 1.111080 1.054078 0.000500
0.865527 1.175553 1.084229 0.000500
0.852118 1.220456 1.104743 0.000500
0.817382 1.252723 1.119251 0.000500
0.766218 0.981985 0.990952 0.000500
0.771697 0.918198 0.958226 0.000500
0.725639 1.156088 1.075215 0.000500
0.737357 0.904261 0.950926 0.000500
0.728663 0.864666 0.929874 0.000500
0.674615 0.844878 0.919173 0.000500
0.700504 0.824778 0.908173 0.000500
0.652708 0.735295 0.857494 0.000500
0.626381 0.763179 0.873601 0.000500
0.665453 0.763663 0.873878 0.000500
0.600999 0.890769 0.943806 0.000500
0.581001 1.140219 1.067811 0.000375
0.583465 0.854943 0.924631 0.000375
0.555204 0.709894 0.842552 0.000375
0.541424 0.894554 0.945809 0.000375
0.514632 0.724443 0.851142 0.000375
0.515343 0.705120 0.839715 0.000375
0.490746 0.673435 0.820631 0.000375
0.502280 0.807160 0.898421 0.000375
0.467335 0.634342 0.796456 0.000375
0.466502 1.207719 1.098963 0.000375
0.462025 0.772948 0.879175 0.000375
0.415526 1.057174 1.028190 0.000375
0.418871 0.871800 0.933702 0.000281
0.392862 0.629477 0.793396 0.000281
0.365364 1.171794 1.082494 0.000281
0.370257 0.636864 0.798038 0.000281
0.377283 0.809504 0.899725 0.000281
0.338430 0.858972 0.926808 0.000211
0.306313 0.721373 0.849337 0.000211
0.313166 0.882764 0.939555 0.000211
0.295097 0.791408 0.889611 0.000211
0.303903 0.759150 0.871292 0.000158
0.270418 0.737946 0.859038 0.000158

fold_1:
   train      val  monitor       lr
3.382700 1.615107 1.270869 0.000500
1.236427 1.328099 1.152432 0.000500
1.190596 1.376777 1.173361 0.000500
1.138980 1.385233 1.176959 0.000500
1.079611 1.242894 1.114852 0.000500
1.097784 1.318144 1.148104 0.000500
