smiles,pred_pIC50,target_pIC50,is_valid,canonical_smiles,murcko_scaffold_smiles,tanimoto_max_to_ref,diversity_score,mean_tanimoto_internal,diversity_internal_score
Brc1cccc(C2CC2c2ccccc2)c1,3.8690546,3.873373031616211,True,Brc1cccc(C2CC2c2ccccc2)c1,c1ccc(C2CC2c2ccccc2)cc1,0.47727272,0.8395028177569753,0.16506474784894057,0.8349352521510595
Brc1cccc(Cc2ccccc2)c1,3.0626478,3.0464353561401367,True,Brc1cccc(Cc2ccccc2)c1,c1ccc(Cc2ccccc2)cc1,0.3409091,0.8395028177569753,0.16506474784894057,0.8349352521510595
Brc1ccccc1C1CCCC1c1ccccc1,3.8450449,3.843075037002564,True,Brc1ccccc1C1CCCC1c1ccccc1,c1ccc(C2CCCC2c2ccccc2)cc1,0.4117647,0.8395028177569753,0.16506474784894057,0.8349352521510595
Brc1ccccc1C1NCC1OC1CCO1,3.2163448,3.1949234008789062,True,Brc1ccccc1C1NCC1OC1CCO1,c1ccc(C2NCC2OC2CCO2)cc1,0.3,0.8395028177569753,0.16506474784894057,0.8349352521510595
Brc1ccccc1[C@H]1CN[C@H]1[C@@H]1CCCN1,4.3933973,4.392444133758545,True,Brc1ccccc1[C@H]1CN[C@H]1[C@@H]1CCCN1,c1ccc(C2CNC2C2CCCN2)cc1,0.33898306,0.8395028177569753,0.16506474784894057,0.8349352521510595
C#CC1CC2(N=C(N)N(C)C2=O)c2cc(-c3cccc(C(C)(C)C)c3)ccc2O1,8.895665,8.915372848510742,True,C#CC1CC2(N=C(N)N(C)C2=O)c2cc(-c3cccc(C(C)(C)C)c3)ccc2O1,O=C1NC=NC12CCOc1ccc(-c3ccccc3)cc12,0.5942029,0.8395028177569753,0.16506474784894057,0.8349352521510595
C#CCCCNC(=O)C(C)CCc1cc2cc(-c3ccc(Cl)cc3)ccc2nc1N,6.0189443,6.022432327270508,True,C#CCCCNC(=O)C(C)CCc1cc2cc(-c3ccc(Cl)cc3)ccc2nc1N,c1ccc(-c2ccc3ncccc3c2)cc1,0.4935065,0.8395028177569753,0.16506474784894057,0.8349352521510595
C#CCCCOc1ccc(C(=O)Nc2cccc(C3(C)N=C(N)N(C)C3=O)c2)cc1,6.862408,6.880696296691895,True,C#CCCCOc1ccc(C(=O)Nc2cccc(C3(C)N=C(N)N(C)C3=O)c2)cc1,O=C(Nc1cccc(C2N=CNC2=O)c1)c1ccccc1,0.5714286,0.8395028177569753,0.16506474784894057,0.8349352521510595
C#CCNC[C@@H](O)[C@H](Cc1cccc(Cc2ccccc2)c1)NC(=O)c1ccc(N2CCCCS2(=O)=O)cc1,5.291234,5.307413101196289,True,C#CCNC[C@@H](O)[C@H](Cc1cccc(Cc2ccccc2)c1)NC(=O)c1ccc(N2CCCCS2(=O)=O)cc1,O=C(NCCc1cccc(Cc2ccccc2)c1)c1ccc(N2CCCCS2(=O)=O)cc1,0.53932583,0.8395028177569753,0.16506474784894057,0.8349352521510595
C#CCc1cnc(C2(c3cccc(-c4cncnc4)c3)N=C(N)N(C)C2=O)cn1,9.700339,9.73900032043457,True,C#CCc1cnc(C2(c3cccc(-c4cncnc4)c3)N=C(N)N(C)C2=O)cn1,O=C1NC=NC1(c1cccc(-c2cncnc2)c1)c1cnccn1,0.640625,0.8395028177569753,0.16506474784894057,0.8349352521510595
C#Cc1c(OC)cccc1-c1cccc(C2(c3ccc(OC(F)(F)F)cc3)N=C(N)N(C)C2=O)c1,8.67185,8.66699504852295,True,C#Cc1c(OC)cccc1-c1cccc(C2(c3ccc(OC(F)(F)F)cc3)N=C(N)N(C)C2=O)c1,O=C1NC=NC1(c1ccccc1)c1cccc(-c2ccccc2)c1,0.7,0.8395028177569753,0.16506474784894057,0.8349352521510595
