fold_0:
   train      val  monitor       lr
4.244243 2.056945 1.434205 0.000500
1.676889 3.391868 1.841702 0.000500
1.481995 1.936925 1.391735 0.000500
1.350475 1.876858 1.369985 0.000500
1.570875 1.642224 1.281493 0.000500
1.359107 1.530504 1.237135 0.000500
1.168690 1.646380 1.283113 0.000500
1.189849 1.312186 1.145507 0.000500
1.294560 1.452223 1.205082 0.000500
1.124586 1.264765 1.124618 0.000500
1.118526 1.619799 1.272713 0.000500
1.262416 1.263280 1.123957 0.000500
1.107601 1.332333 1.154267 0.000500
1.101003 1.200636 1.095736 0.000500
0.949939 1.224938 1.106769 0.000500
0.902464 1.278804 1.130842 0.000500
0.845495 0.858545 0.926577 0.000500
0.887562 1.049804 1.024600 0.000500
0.835779 0.943223 0.971196 0.000500
0.788633 1.486039 1.219032 0.000500
0.775212 1.316294 1.147299 0.000375
0.765473 0.848204 0.920980 0.000375
0.760660 0.814675 0.902593 0.000375
0.649702 0.898517 0.947902 0.000375
0.615346 0.842837 0.918062 0.000375
0.630014 0.748984 0.865438 0.000375
0.666511 0.667311 0.816891 0.000375
0.545883 0.683369 0.826661 0.000375
0.542290 0.942437 0.970792 0.000375
0.641156 1.351819 1.162677 0.000375
0.553189 0.685666 0.828049 0.000281
0.463256 0.654502 0.809013 0.000281
0.419531 0.877846 0.936934 0.000281
0.426402 0.847075 0.920367 0.000281
0.428148 0.811641 0.900911 0.000281
0.425482 0.901919 0.949694 0.000211
0.397242 0.805451 0.897469 0.000211
0.376129 1.077658 1.038103 0.000211
0.369252 0.619481 0.787071 0.000211
0.362250 1.562928 1.250171 0.000211
0.379006 0.671469 0.819432 0.000211
0.320679 0.741541 0.861128 0.000211
0.302518 0.807091 0.898382 0.000158
0.284407 0.690330 0.830861 0.000158
0.293004 0.760745 0.872207 0.000158
0.255397 0.884339 0.940393 0.000158
0.268918 0.935987 0.967464 0.000119
0.263509 0.984504 0.992222 0.000119

fold_1:
   train      val  monitor       lr
5.136478 1.557095 1.247836 0.000500
