epoch,step,train_loss_epoch,train_loss_step,val/r2,val/rmse,val_loss
0,8,,,-15.663152694702148,5.354936599731445,28.675344467163086
0,8,24.35489273071289,,,,
1,17,,,-10.884137153625488,4.522302150726318,20.451215744018555
1,17,4.710373401641846,,,,
2,26,,,-8.903660774230957,4.128322124481201,17.043045043945312
2,26,3.4184789657592773,,,,
3,35,,,-8.289806365966797,3.9983339309692383,15.986673355102539
3,35,2.774857759475708,,,,
4,44,,,-3.97119140625,2.92486572265625,8.554840087890625
4,44,2.569520950317383,,,,
5,49,,2.7203049659729004,,,
5,53,,,-3.5013132095336914,2.78320574760437,7.746234893798828
5,53,2.6409459114074707,,,,
6,62,,,-1.5003418922424316,2.0743184089660645,4.302796840667725
6,62,2.301846981048584,,,,
7,71,,,-0.07962584495544434,1.3630517721176147,1.8579102754592896
7,71,2.3366966247558594,,,,
8,80,,,0.16495245695114136,1.1987574100494385,1.4370194673538208
8,80,2.088697910308838,,,,
9,89,,,-0.028416156768798828,1.3303323984146118,1.7697843313217163
9,89,2.118145704269409,,,,
10,98,,,0.11197203397750854,1.2362009286880493,1.5281926393508911
10,98,2.0536277294158936,,,,
11,99,,1.8027172088623047,,,
11,107,,,0.16520708799362183,1.1985746622085571,1.4365812540054321
11,107,1.835661768913269,,,,
12,116,,,0.21957993507385254,1.1588839292526245,1.3430119752883911
12,116,1.9769052267074585,,,,
13,125,,,0.2998758554458618,1.0976483821868896,1.2048319578170776
13,125,1.7508352994918823,,,,
14,134,,,0.09469705820083618,1.2481670379638672,1.5579208135604858
14,134,1.867005467414856,,,,
15,143,,,0.3072485327720642,1.0918537378311157,1.192144513130188
15,143,1.6843044757843018,,,,
16,149,,1.501924753189087,,,
16,152,,,-0.32651782035827637,1.5108879804611206,2.282782554626465
16,152,1.5550895929336548,,,,
17,161,,,0.284532368183136,1.109610915184021,1.2312363386154175
17,161,1.8358221054077148,,,,
18,170,,,-0.08810603618621826,1.3683944940567017,1.872503638267517
18,170,1.6578730344772339,,,,
19,179,,,0.23814737796783447,1.1450151205062866,1.311059594154358
19,179,1.5604643821716309,,,,
20,188,,,-0.418376088142395,1.5623252391815186,2.4408600330352783
20,188,1.6553010940551758,,,,
21,197,,,0.055973708629608154,1.2745819091796875,1.6245591640472412
21,197,1.6125752925872803,,,,
