smiles,pred_pIC50,target_pIC50,is_valid,canonical_smiles,murcko_scaffold_smiles,tanimoto_max_to_ref,diversity_score,mean_tanimoto_internal,diversity_internal_score
Brc1cccc(-c2cccc(C34CCC(CC3)O4)c2)c1,4.292316,4.298500061035156,True,Brc1cccc(-c2cccc(C34CCC(CC3)O4)c2)c1,c1ccc(-c2cccc(C34CCC(CC3)O4)c2)cc1,0.3653846,0.8368500940548291,0.1656200561209459,0.8343799438790541
Brc1cccc(C2CCC3CN(Cc4ccccc4)CC32)c1,5.0662594,5.061469078063965,True,Brc1cccc(C2CCC3CN(Cc4ccccc4)CC32)c1,c1ccc(CN2CC3CCC(c4ccccc4)C3C2)cc1,0.30645162,0.8368500940548291,0.1656200561209459,0.8343799438790541
Brc1cccc(CCc2ccc3c[nH]cc3c2)c1,4.0822115,4.085100173950195,True,Brc1cccc(CCc2ccc3c[nH]cc3c2)c1,c1ccc(CCc2ccc3c[nH]cc3c2)cc1,0.42553192,0.8368500940548291,0.1656200561209459,0.8343799438790541
C#CC(Cc1cc(F)cc(F)c1)C(CNC1(O)CCN(c2cccc(C(C)(C)C)c2)C1)NC(C)=O,8.319057,8.322017669677734,True,C#CC(Cc1cc(F)cc(F)c1)C(CNC1(O)CCN(c2cccc(C(C)(C)C)c2)C1)NC(C)=O,c1ccc(CCCCNC2CCN(c3ccccc3)C2)cc1,0.5,0.8368500940548291,0.1656200561209459,0.8343799438790541
C#CC1=CC(C(O)NC(=O)c2cc(Sc3ccccc3)cc(C(=O)N(CCC)CCC)c2)CNCC(Cc2cc(F)cc(F)c2)=CC=C1F,7.3707976,7.368367195129394,True,C#CC1=CC(C(O)NC(=O)c2cc(Sc3ccccc3)cc(C(=O)N(CCC)CCC)c2)CNCC(Cc2cc(F)cc(F)c2)=CC=C1F,O=C(NCC1C=CC=CC=C(Cc2ccccc2)CNC1)c1cccc(Sc2ccccc2)c1,0.45192307,0.8368500940548291,0.1656200561209459,0.8343799438790541
C#CCC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,9.868115,9.88145923614502,True,C#CCC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,c1ccc(CCCCNC2CC3(CCC3)Oc3ncccc32)cc1,0.82666665,0.8368500940548291,0.1656200561209459,0.8343799438790541
C#CCC(=O)NC(Cc1ccc(OC)cc1)C(O)CNC1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,8.431463,8.399711608886719,True,C#CCC(=O)NC(Cc1ccc(OC)cc1)C(O)CNC1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,c1ccc(CCCCNC2CC3(CCC3)Oc3ncccc32)cc1,0.77380955,0.8368500940548291,0.1656200561209459,0.8343799438790541
C#CCNC[C@H](O)C(Cc1ccccc1)NC(=O)c1cc2c3c(cn(CC)c3c1)CCS(=O)(=O)N2C,9.16137,9.16653537750244,True,C#CCNC[C@H](O)C(Cc1ccccc1)NC(=O)c1cc2c3c(cn(CC)c3c1)CCS(=O)(=O)N2C,O=C(NCCc1ccccc1)c1cc2c3c(c[nH]c3c1)CCS(=O)(=O)N2,1.0,0.8368500940548291,0.1656200561209459,0.8343799438790541
C#CCNC[C@H](O)[C@H](Cc1cc(F)cc(F)c1)NC(=O)c1cn(C(=O)N(C)CCCC)c2ccccc12,7.5812984,7.571919441223144,True,C#CCNC[C@H](O)[C@H](Cc1cc(F)cc(F)c1)NC(=O)c1cn(C(=O)N(C)CCCC)c2ccccc12,O=C(NCCc1ccccc1)c1c[nH]c2ccccc12,0.74390244,0.8368500940548291,0.1656200561209459,0.8343799438790541
C#CCOc1ccc(C(=O)Nc2ccc(F)c(C3(C4CCCCC4)N=C(N)N(C)C3=O)c2)nc1,7.3704877,7.356461524963379,True,C#CCOc1ccc(C(=O)Nc2ccc(F)c(C3(C4CCCCC4)N=C(N)N(C)C3=O)c2)nc1,O=C(Nc1cccc(C2(C3CCCCC3)N=CNC2=O)c1)c1ccccn1,0.46666667,0.8368500940548291,0.1656200561209459,0.8343799438790541
